Droga / Principio Activo;Nombre Comercial;Presentación;Laboratorio;Precio de Venta al Público (PVP);Fecha de extracción;Fuente
Paracetamol;Tafirol;Comp. 500mg x10;Gador;1200;19/08/2026;Estimación propia (dato simulado)
Ibuprofeno;Ibupirac;Comp. 400mg x10;Bagó;1800;19/08/2026;Estimación propia (dato simulado)
Diclofenac sódico;Voltaren;Comp. 50mg x10;GSK;2200;19/08/2026;Estimación propia (dato simulado)
Naproxeno;Flanax;Comp. 550mg x10;Bayer;2500;19/08/2026;Estimación propia (dato simulado)
Ácido acetilsalicílico;Aspirina;Comp. 500mg x20;Bayer;1500;19/08/2026;Estimación propia (dato simulado)
Ketorolac;Ketorolac Denver;Comp. 10mg x10;Denver Farma;1900;19/08/2026;Estimación propia (dato simulado)
Paracetamol + Ibuprofeno;Actron Duo;Comp. x10;GSK;2800;19/08/2026;Estimación propia (dato simulado)
Dipirona;Novemina;Gotas 20ml;Roemmers;2100;19/08/2026;Estimación propia (dato simulado)
Amoxicilina;Amoxidal;Comp. 500mg x8;Roemmers;3200;19/08/2026;Estimación propia (dato simulado)
Amoxicilina + Ác. Clavulánico;Clavulin;Comp. 875/125mg x14;GSK;8500;19/08/2026;Estimación propia (dato simulado)
Azitromicina;Zitromax;Comp. 500mg x3;Pfizer;4200;19/08/2026;Estimación propia (dato simulado)
Ciprofloxacina;Ciproxina;Comp. 500mg x10;Bayer;5200;19/08/2026;Estimación propia (dato simulado)
Cefalexina;Cefalexina Richet;Comp. 500mg x8;Richet;3600;19/08/2026;Estimación propia (dato simulado)
Claritromicina;Klaricid;Comp. 500mg x14;Abbott;9800;19/08/2026;Estimación propia (dato simulado)
Trimetoprima + Sulfametoxazol;Bactrim;Comp. x20;Roche;2900;19/08/2026;Estimación propia (dato simulado)
Losartán;Cozaarex;Comp. 50mg x30;MSD;4500;19/08/2026;Estimación propia (dato simulado)
Enalapril;Renitec;Comp. 10mg x30;MSD;3200;19/08/2026;Estimación propia (dato simulado)
Amlodipina;Amlopin;Comp. 5mg x30;Gador;3800;19/08/2026;Estimación propia (dato simulado)
Atenolol;Atenolol Gador;Comp. 50mg x30;Gador;2800;19/08/2026;Estimación propia (dato simulado)
Valsartán;Diovan;Comp. 80mg x28;Novartis;6500;19/08/2026;Estimación propia (dato simulado)
Metformina;Glucophage;Comp. 850mg x30;Merck;3500;19/08/2026;Estimación propia (dato simulado)
Glibenclamida;Daonil;Comp. 5mg x30;Sanofi;2700;19/08/2026;Estimación propia (dato simulado)
Insulina NPH;Novolin N;Frasco 10ml;Novo Nordisk;12500;19/08/2026;Estimación propia (dato simulado)
Sitagliptina;Januvia;Comp. 100mg x28;MSD;28500;19/08/2026;Estimación propia (dato simulado)
Insulina Glargina;Lantus;Sol. inyectable 10ml;Sanofi;32000;19/08/2026;Estimación propia (dato simulado)
Atorvastatina;Lipitor;Comp. 20mg x30;Pfizer;6800;19/08/2026;Estimación propia (dato simulado)
Rosuvastatina;Crestor;Comp. 10mg x30;AstraZeneca;7500;19/08/2026;Estimación propia (dato simulado)
Simvastatina;Zocor;Comp. 20mg x28;MSD;5900;19/08/2026;Estimación propia (dato simulado)
Sertralina;Zoloft;Comp. 50mg x30;Pfizer;8200;19/08/2026;Estimación propia (dato simulado)
Fluoxetina;Prozac;Comp. 20mg x30;Eli Lilly;6500;19/08/2026;Estimación propia (dato simulado)
Alprazolam;Alplax;Comp. 0.5mg x30;Gador;3900;19/08/2026;Estimación propia (dato simulado)
Clonazepam;Rivotril;Comp. 0.5mg x30;Roche;4200;19/08/2026;Estimación propia (dato simulado)
